playlist_id,track_name,artist(s)_name,artist_ids,album_name,album_id,track_id,Image URL,release_date,popularity
37i9dQZF1EIUmOL9yUxSUz,Kishori Laadli Shama,['Sadhvi Purnima Ji'],['01uhm7WV1zDq5eO7H4rL49'],Barsana Yaad Aaye,2c08ztcHhD8VT5XgsX88XT,1pc9gHdbIIID1v4ycwZSTr,https://i.scdn.co/image/ab67616d0000b273b23c0641c5c8ff6b736feb1d,2017-05-02,4
37i9dQZF1EIUmOL9yUxSUz,Chashme Num Jane,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Ke Saat Ek Sham, Banaam-E-Faiz",4X3NuCz5vIsnZOviLrxAVZ,7DnTj1wmEi983sqG5C70dR,https://i.scdn.co/image/ab67616d0000b273b92055d77eac26f93ea81d8c,2011-01-01,8
37i9dQZF1EIUmOL9yUxSUz,Tu Lakh Chale Re Gori,['Iqbal Bano'],['7JxXeUTiGg0vr8SS2iS0F0'],Classical and Light Classical,2AbBZvbaQF1iXU9QkuoGDx,1eH4sOhUg02F0dUgYMosKW,https://i.scdn.co/image/ab67616d0000b273dd0c85fb48600076fc62b684,2014-07-28,27
37i9dQZF1EIUmOL9yUxSUz,Nasir Kazmi,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Ke Saath Eik Shaam, Vol. 8",6qX3O3Ew6cg4LMdohVe5z6,0hGRY2ky4tLHiyygDv7dAI,https://i.scdn.co/image/ab67616d0000b2731a35450b50ec30c95af89d8b,1994-01-06,13
37i9dQZF1EIUmOL9yUxSUz,Hangama Hai Kiyon Barbad,['Ghulam Ali'],['62mCohf6aiF3nryWghwCxM'],Dil Mein Ek Leher - Ghulam Ali The Gazal Mastro,1f1ZODqT2ovZki5OlxgJ5W,5DE0ceOgboD8TexJ2RAQI4,https://i.scdn.co/image/ab67616d0000b273e7dac1e41025cb2eafb16047,1994-01-01,24
37i9dQZF1EIUmOL9yUxSUz,Humne Aangan Nahi Buhara Kaise Ayenge Bhagwan,['Ranjan Ji Maharaj'],['1OTCoLjaNir3254Ff6bvlA'],Humne Aangan Nahi Buhara Kaise Ayenge Bhagwan,0M5YMxBk91D96njq5HU5Vf,1wioum7lbXLxyx1xcuOuzd,https://i.scdn.co/image/ab67616d0000b2737fccc44bd7e85ce1555cb309,2023-07-15,41
37i9dQZF1EIUmOL9yUxSUz,Muhabbar Karne Wale,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Ke Sath Ek Shaam, Vol. 26",2dQzakWgi8OGb4eF1UrVoa,4QkYy3vJL0f7V7FFiXDUBW,https://i.scdn.co/image/ab67616d0000b273e04493b21c749495dea0b8ed,2018-10-19,18
37i9dQZF1EIUmOL9yUxSUz,Narasimha Kavacham,['ISKCON Bangalore'],['0bbrfmzNUJe9L7i3c7bNU4'],Abhayam,4JcchPBHKD0Rh3w515vKrU,04AfqcZXFN3bw5gYDs5h7e,https://i.scdn.co/image/ab67616d0000b2733357902352fca1b63af4fa02,2023-11-09,16
37i9dQZF1EIUmOL9yUxSUz,Nim Shab Chand (Live),['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Show, Vol. 1 (Live)",6yVgRVzVc4b8qtSDdHItZz,1T5dFfZk4QjBPkkEDUibzn,https://i.scdn.co/image/ab67616d0000b273f054d177d7e20e31f30d3a01,2010-12-26,0
37i9dQZF1EIUmOL9yUxSUz,Jin Par Kirpa Ram Kare Vo Paththar Bhi Tir Jate Hain,['Ravindra Jain'],['0y633xrd3L3rSxpZ4awgnG'],Lanka Kaand,3oz7gKOQffvWFY8X9yRuck,0248iEY7P2bN8ty9i109Yy,https://i.scdn.co/image/ab67616d0000b273977c522b2fc232b7c41f3b55,2007-01-01,33
37i9dQZF1EIUmOL9yUxSUz,Nisar Main Teri Galiyon Kay,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],Faiz Sahab Ki Mohabbat Mein,1efFR0ZHtLdQAY2TRdgom4,33mY8rEEPEgvai3Gjtiaff,https://i.scdn.co/image/ab67616d0000b273fb296025e97d8261cb355617,1999-09-01,17
37i9dQZF1EIUmOL9yUxSUz,"Selected Poetry, Pt. 1",['Ahmed Faraz'],['7HJOlAg1ce1EGQK3pXgZIl'],Selected Poetry,0LIfAYnq7ZozS3zE6muBTX,1CbJaq9xOfKtuwAYe6QgaQ,https://i.scdn.co/image/ab67616d0000b2737703aa86fc8b47751161ca05,2017-04-03,24
37i9dQZF1EIUmOL9yUxSUz,Is Tarah Ki Baat,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],Zia Mohyeddin Ke Saath Eik Shaam Vol 18,3Ig6ZscDLLlpJ7V82U4hdz,0d3xraDExoMnGEwNzxzNs0,https://i.scdn.co/image/ab67616d0000b27315b68801d198079ffc7c2530,2008-01-01,8
37i9dQZF1EIUmOL9yUxSUz,Daagh-e-Dil Hum Ko,['Iqbal Bano'],['7JxXeUTiGg0vr8SS2iS0F0'],Classical and Light Classical,2AbBZvbaQF1iXU9QkuoGDx,47d5DMO2WRxoRBokuRhkOU,https://i.scdn.co/image/ab67616d0000b273dd0c85fb48600076fc62b684,2014-07-28,27
37i9dQZF1EIUmOL9yUxSUz,Josh Maliha Abadi,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Show, Vol.10 (Live)",6dIERobEYINbXjfomvuEGJ,3GdDZkdlcpDGg7SXRsryXu,https://i.scdn.co/image/ab67616d0000b273c707e4907fa7bf429bf1a795,1999-01-01,6
37i9dQZF1EIUmOL9yUxSUz,Ram Bhakt Le Chala Re Ram Ki Nishaani,['Ravindra Jain'],['0y633xrd3L3rSxpZ4awgnG'],Ayodhya Kaand,1cwt07b68uU9vfDZeOfH3i,5ozrde9hfAamlaIFJT1T8r,https://i.scdn.co/image/ab67616d0000b2730c85d4c37c2adaf771c82c4a,2007-01-01,40
37i9dQZF1EIUmOL9yUxSUz,Tamam Umar Tera Intezar,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Ke Sath Ek Shaam, Vol. 26",2dQzakWgi8OGb4eF1UrVoa,5LnivUBCptvqg1HOeTSebQ,https://i.scdn.co/image/ab67616d0000b273e04493b21c749495dea0b8ed,2018-10-19,11
37i9dQZF1EIUmOL9yUxSUz,Dil Jalaane Ki Baat,['Ali Sethi'],['3NegWDGp038A3FIi3gSYzl'],The Reluctant Fundamentalist,3Hzm5TP92QvufU2sJqwiB8,1LW6iw61YZVYHfZ7S3yRyF,https://i.scdn.co/image/ab67616d0000b273b44c8b868e5f9e92d9a26212,2013-11-25,33
37i9dQZF1EIUmOL9yUxSUz,Zindagi Se Darte Ho,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],Zia Mohyeddin Reads Vol. 1,6UQLXbtBCDqKXkEnhHNlrG,7aTmaxFZTVb80N3fIEA8qv,https://i.scdn.co/image/ab67616d0000b2735552d08ea8f6115dfd56dd2b,1999-02-01,7
37i9dQZF1EIUmOL9yUxSUz,Pag Ghoongaru Bandh Meera Nachi Re,"['Bijender Chauhan', 'Anup Jalota']","['6wlrhq3WHsvTQEP5E7cT2n', '3kzGeGPP5gd5KAMm6QggHV']",Pag Ghoongaru Bandh Meera Nachi Re,2sC2jRvfEhfDLQVUh3jOx3,0sxHTwxLGf10mIMQXLUAIj,https://i.scdn.co/image/ab67616d0000b273f9244b8036918471a94e28d5,2023-02-16,34
37i9dQZF1EIUmOL9yUxSUz,Tum Aaye Ho Na (Live),['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Show, Vol. 1 (Live)",6yVgRVzVc4b8qtSDdHItZz,54D1Yqn4lnr6ltTVVRXqbZ,https://i.scdn.co/image/ab67616d0000b273f054d177d7e20e31f30d3a01,2010-12-26,0
37i9dQZF1EIUmOL9yUxSUz,Ram Kahani,['Ravindra Jain'],['0y633xrd3L3rSxpZ4awgnG'],Jai Jai Shri Ram,1cq2c7Z4SRpzvRjwQTzMlH,193vqVFl1Ug2bBEelVx0QN,https://i.scdn.co/image/ab67616d0000b27370147635367ebf7f09b662f6,2021-10-30,38
37i9dQZF1EIUmOL9yUxSUz,Hum Jo Tareek Rahon Mein,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],Faiz Sahab Ki Mohabbat Mein,1efFR0ZHtLdQAY2TRdgom4,7zHCMJp3N7amEISZ5OcEhY,https://i.scdn.co/image/ab67616d0000b273fb296025e97d8261cb355617,1999-09-01,16
37i9dQZF1EIUmOL9yUxSUz,Avadh Me Aanand Bhayo Jai Raghuvar Laal Ki,['Pujya Prembhushanji Maharaj'],['6OfC40yyqKlQ3R2mqNXrQy'],Avadh Me Aanand Bhayo Jai Raghuvar Laal Ki,1dHbzm3VnnhoVwJNBFXo0Y,6ITfp546tBBvFzG1qX8vXl,https://i.scdn.co/image/ab67616d0000b273391bd9492eba7a7fc75b0112,2023-08-10,33
37i9dQZF1EIUmOL9yUxSUz,Bam-O-Dar Khamoshi,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Ke Saat Ek Sham, Banaam-E-Faiz",4X3NuCz5vIsnZOviLrxAVZ,1rl7sFAPo4t0JAkhKoYV7A,https://i.scdn.co/image/ab67616d0000b273b92055d77eac26f93ea81d8c,2011-01-01,5
37i9dQZF1EIUmOL9yUxSUz,Jo Kuch De Rahe Ho Liye Ja Raha Hu,['Rajan Ji Maharaj'],['6FSAnI0IH6smOyWJA1UtNS'],Jo Kuch De Rahe Ho Liye Ja Raha Hu,4ujGXxpUSkCsuCFrBQ2ttC,2vf093vSCgA2bzBMn3IybJ,https://i.scdn.co/image/ab67616d0000b273f4d96835a5d2525ffa3ebee8,2023-10-31,33
37i9dQZF1EIUmOL9yUxSUz,Aashar ( Mirza Sauda ),['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],Zia Mohyeddin Ke Saath Eik Sham - Vol-11,6a2dnK4OiJouCsMutP04uN,3u6HUbdQXUKczfhWpWkFqf,https://i.scdn.co/image/ab67616d0000b273fc2aac82a83da0ad80413be6,1999-01-12,6
37i9dQZF1EIUmOL9yUxSUz,"Shri Raghuvar Komal Kamalnayan Ko Pehnao Jaimala (From ""Baal Kaand"")",['Ravindra Jain'],['0y633xrd3L3rSxpZ4awgnG'],Ramayan Bhajan - Siya Raghuvar Ji Ke Sang Paran Laagi,3c2dhrMROPKotX1shJQg3p,7A3eu2OwcCa2UED72HOHec,https://i.scdn.co/image/ab67616d0000b27310baf3bc4f6b37c55acbaa2e,2020-10-17,33
37i9dQZF1EIUmOL9yUxSUz,Wafa Ki Dastan,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Ke Sath Ek Shaam, Vol. 26",2dQzakWgi8OGb4eF1UrVoa,7yUkqS4363IdoeYcxGsF7p,https://i.scdn.co/image/ab67616d0000b273e04493b21c749495dea0b8ed,2018-10-19,10
37i9dQZF1EIUmOL9yUxSUz,Abb Tera Hi Aasra Hai,['Ranjan Ji Maharaj'],['1OTCoLjaNir3254Ff6bvlA'],Abb Tera Hi Aasra Hai,2ynOPgoJa1vEXPVJkSyFRf,6x8sB98N3qdO1N8uVaYmtW,https://i.scdn.co/image/ab67616d0000b273e3278b8e1eab7497ccaa6445,2023-07-17,38
37i9dQZF1EIUmOL9yUxSUz,Ashfaq Hussain Khud Se Pehli Mulaqat (Live),['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Show, Vol. 23 (Live)",2FOTW5Q5dZijp5AL9o3g87,1yWkGXRCNMXFrr3qlfYvWQ,https://i.scdn.co/image/ab67616d0000b273a491fc03db0143d2a5f909de,2013-12-01,4
37i9dQZF1EIUmOL9yUxSUz,Ladli Radha Kishori Radha,['Hita Ambrish'],['1bM3XJOqcFo541Hlr2mdmH'],Shree Radha Naam Sankirtan,7v3UExhi4Wz2fn1Bzu9Ggh,56vSYYNjpAcBPx6a5TTg8n,https://i.scdn.co/image/ab67616d0000b273dbb890441d1cc56565fc6179,2021-11-29,31
37i9dQZF1EIUmOL9yUxSUz,Tanhaee,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],Faiz Sahab Ki Mohabbat Mein,1efFR0ZHtLdQAY2TRdgom4,4PwPsWXPj5HEizjALlGnJD,https://i.scdn.co/image/ab67616d0000b273fb296025e97d8261cb355617,1999-09-01,16
37i9dQZF1EIUmOL9yUxSUz,Ayodhya Karti Hai Aahvaan,"['Ravindra Jain', 'Satish Dehra', 'Rachna', 'Deepmala']","['0y633xrd3L3rSxpZ4awgnG', '1qiDTcJJ18n0NbAu9AIsDK', '33gh9N5tGQQRLogxH2C14M', '1Wr2NDtA6lF7CvRaTuBpUZ']",Jai Jai Shri Ram,1cq2c7Z4SRpzvRjwQTzMlH,3li1nyBS5gB3cbIbJYivlZ,https://i.scdn.co/image/ab67616d0000b27370147635367ebf7f09b662f6,2021-10-30,34
37i9dQZF1EIUmOL9yUxSUz,Ghazaliyat,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],Zia Mohyeddin Reads Vol. 6,5qiIfJSTbLhtOKkzL0ZBQn,0UEOWhqgVQ1LycrCAEdSQq,https://i.scdn.co/image/ab67616d0000b273401af7f31ca2d89ab4123fb5,1999-02-01,5
37i9dQZF1EIUmOL9yUxSUz,कजरी बंदउँ सुखराशी अविनाशी,['Ranjan Ji Maharaj'],['1OTCoLjaNir3254Ff6bvlA'],कजरी बंदउँ सुखराशी अविनाशी,0sjQ021rPbRzgs2ftfbmVf,6elY5Bh6CZ7L3Wlux1KQLu,https://i.scdn.co/image/ab67616d0000b273449114cf7aa4446a3da2ebf4,2023-07-14,37
37i9dQZF1EIUmOL9yUxSUz,Chalo Phir Se Muskurain (Live),['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Show, Vol. 1 (Live)",6yVgRVzVc4b8qtSDdHItZz,27HLXfTKNcHoZDuAbt47ob,https://i.scdn.co/image/ab67616d0000b273f054d177d7e20e31f30d3a01,2010-12-26,0
37i9dQZF1EIUmOL9yUxSUz,Deke Charno Ki Sewa,['Ravi Raj'],['3QLWNfhMv8Ut9nxp2DkSXx'],Deke Charno Ki Sewa,0s5bl2T4MIL0wYaPbGfv5l,7EYPPSCTcrsv4nfzsTAQCA,https://i.scdn.co/image/ab67616d0000b273f100b3a661b3cfa74ee1c1a4,2023-10-18,32
37i9dQZF1EIUmOL9yUxSUz,Parveen Shakir Ke Naam,['Zia Mohyeddin'],['5e7hI7b3h9olFWgwrOySUb'],"Zia Mohyeddin Ke Saath Eik Shaam, Vol. 8",6qX3O3Ew6cg4LMdohVe5z6,7BKGzdRZEWpdFi855KxnJP,https://i.scdn.co/image/ab67616d0000b2731a35450b50ec30c95af89d8b,1994-01-06,4
