Playlist Name,Playlist ID,Image URL
TU HAI KAHAN - AUR - Raffey - Usama - Ahad,715nuSupDVkbHMXZxVCoOt,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb2c8e726fcff0642eee624db9
Zia Mohyeddin-Mix,37i9dQZF1EIUmOL9yUxSUz,https://seed-mix-image.spotifycdn.com/v6/img/artist/5e7hI7b3h9olFWgwrOySUb/de/large
My playlist #1,5FzeDvNpCq5qvzElpvFnET,https://mosaic.scdn.co/640/ab67616d0000b2730c4c68e0c98c6c6d624f6036ab67616d0000b2739e44231f0a9d4d7af48fcd18ab67616d0000b273da98679a7489305bc1ba4f76ab67616d0000b273eb9f3dff741e00c2444a2209
