danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.673,0.804,11,-4.679,1,0.0364,0.699,7.14e-06,0.494,0.626,103.453,audio_features,0YJh0FfXny18pTQWisqSFW,spotify:track:0YJh0FfXny18pTQWisqSFW,https://api.spotify.com/v1/tracks/0YJh0FfXny18pTQWisqSFW,https://api.spotify.com/v1/audio-analysis/0YJh0FfXny18pTQWisqSFW,247589,4
0.502,0.029,0,-29.707,1,0.212,0.858,0.0,0.416,0.696,117.113,audio_features,0PdA1dczBm4aZW7ZBQAcTh,spotify:track:0PdA1dczBm4aZW7ZBQAcTh,https://api.spotify.com/v1/tracks/0PdA1dczBm4aZW7ZBQAcTh,https://api.spotify.com/v1/audio-analysis/0PdA1dczBm4aZW7ZBQAcTh,35333,5
0.533,0.624,10,-3.751,0,0.0308,0.332,0.0,0.0855,0.576,146.009,audio_features,1pc9gHdbIIID1v4ycwZSTr,spotify:track:1pc9gHdbIIID1v4ycwZSTr,https://api.spotify.com/v1/tracks/1pc9gHdbIIID1v4ycwZSTr,https://api.spotify.com/v1/audio-analysis/1pc9gHdbIIID1v4ycwZSTr,458240,3
0.569,0.22,7,-13.332,1,0.637,0.952,0.0,0.183,0.486,198.511,audio_features,7DnTj1wmEi983sqG5C70dR,spotify:track:7DnTj1wmEi983sqG5C70dR,https://api.spotify.com/v1/tracks/7DnTj1wmEi983sqG5C70dR,https://api.spotify.com/v1/audio-analysis/7DnTj1wmEi983sqG5C70dR,151840,5
0.431,0.741,0,-6.211,0,0.0442,0.669,3.84e-05,0.296,0.823,92.753,audio_features,1eH4sOhUg02F0dUgYMosKW,spotify:track:1eH4sOhUg02F0dUgYMosKW,https://api.spotify.com/v1/tracks/1eH4sOhUg02F0dUgYMosKW,https://api.spotify.com/v1/audio-analysis/1eH4sOhUg02F0dUgYMosKW,286616,4
0.681,0.137,8,-14.68,1,0.934,0.712,0.0,0.919,0.354,99.079,audio_features,0hGRY2ky4tLHiyygDv7dAI,spotify:track:0hGRY2ky4tLHiyygDv7dAI,https://api.spotify.com/v1/tracks/0hGRY2ky4tLHiyygDv7dAI,https://api.spotify.com/v1/audio-analysis/0hGRY2ky4tLHiyygDv7dAI,319413,4
0.462,0.0417,8,-24.903,0,0.0376,0.983,0.0119,0.106,0.381,159.971,audio_features,0ts0pT8qDPQ3ZN5nSxeQ9o,spotify:track:0ts0pT8qDPQ3ZN5nSxeQ9o,https://api.spotify.com/v1/tracks/0ts0pT8qDPQ3ZN5nSxeQ9o,https://api.spotify.com/v1/audio-analysis/0ts0pT8qDPQ3ZN5nSxeQ9o,72900,4
0.36,0.755,3,-6.312,0,0.0499,0.555,3.22e-06,0.411,0.546,112.812,audio_features,5DE0ceOgboD8TexJ2RAQI4,spotify:track:5DE0ceOgboD8TexJ2RAQI4,https://api.spotify.com/v1/tracks/5DE0ceOgboD8TexJ2RAQI4,https://api.spotify.com/v1/audio-analysis/5DE0ceOgboD8TexJ2RAQI4,516227,4
0.563,0.127,2,-19.876,1,0.233,0.956,0.0,0.763,0.542,88.318,audio_features,4QkYy3vJL0f7V7FFiXDUBW,spotify:track:4QkYy3vJL0f7V7FFiXDUBW,https://api.spotify.com/v1/tracks/4QkYy3vJL0f7V7FFiXDUBW,https://api.spotify.com/v1/audio-analysis/4QkYy3vJL0f7V7FFiXDUBW,77111,4
0.542,0.575,5,-7.415,0,0.0838,0.672,0.0,0.599,0.557,128.337,audio_features,1wioum7lbXLxyx1xcuOuzd,spotify:track:1wioum7lbXLxyx1xcuOuzd,https://api.spotify.com/v1/tracks/1wioum7lbXLxyx1xcuOuzd,https://api.spotify.com/v1/audio-analysis/1wioum7lbXLxyx1xcuOuzd,576389,4
